"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"3.0","22 Feb 2023","fair enough","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73859945.htm","Anonymous employee","Current employee","good compensation, decent leaves, fine cafeteria","Sometimes get too toxic to deal with","","","","","","","","",""
"1.0","5 Oct 2022","Not to join No growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69784030.htm","Associate senior executive","Current employee, more than 1 year","","","Noida","Nothing pros only sallary on time","Stress mental pressure, mangers will Scold you to strech your timings in office work after office timing tell you to take 3-4 off maximum in a month 
Hr policies are till starting 1 months after that no manager will not follow any policies 
I achieved 12 months target 110%
One month i achieved 80% they are like enemies of me
Daily scolding fighting pressurising forcing you to leave organisation Will send you in focus group PIP etc in naukri.com fastforward unit","Show more","","","","",""
"5.0","14 Feb 2023","Best work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73603320.htm","Senior executive","Current employee","Best support from senior Great culture Good salary","As of now nothing to mention","","","","","","","","",""
"5.0","16 Feb 2023","Good work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73688042.htm","Data scientist","Current employee, less than 1 year","Good learning and use of latest technology","No cons as such till now","Noida","","","","","","","",""
"5.0","23 Nov 2022","An organization which will let you take up diverse leadership role","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71326042.htm","Senior hrbp","Current employee, more than 3 years","","","Noida","Work on large scale horizontal problems Open & Transparent Culture Get to work on industry best practices Get an opportunity to define & built things from scratch","There should be more benefits / tax saving options","Show more","","","","",""
"3.0","6 Feb 2023","Good pay but too much pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73382126.htm","Resume writer","Former employee, more than 1 year","Salary is amazing even for a fresher.","The work pressure here is just too much.","Noida","","","","","","","",""
"4.0","8 Feb 2023","Good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73460156.htm","Client servicing executive","Current employee","Work life balance and friendly people","Nothing as such , company is good","","","","","","","","",""
"3.0","17 Feb 2023","Nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73743911.htm","Senior associate","Current employee, less than 1 year","Work life banlace is perfect","Low salary in this company","Noida","","","","","","","",""
"3.0","5 Feb 2023","Hard core sales job","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73332194.htm","Senior executive corporate sales","Current employee, more than 1 year","Supportive managers Work life balance Good brand name","Sales pressure Low pay Politics among co workers","Noida","","","","","","","",""
"4.0","14 Feb 2023","Good organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73635272.htm","Sales executive","Current employee, less than 1 year","Colleagues are supporting and helpful","Work life balance is not there","Noida","","","","","","","",""
"5.0","5 Feb 2023","Best workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73331592.htm","Senior executive","Former employee, more than 1 year","Worklife balance, on time salary, appraisal, approachable seniors.","There is nothing as such","Bengaluru","","","","","","","",""
"3.0","18 Oct 2022","Okaish but still not a pay master","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70286176.htm","Backend operation executive","Former employee, more than 1 year","","","Noida","Great working environment plus supportive people and also engaging environment to work.","Some higher authorities do not support you when you apply for leaves plus no fixed offs given which is serious. Salary is not great plus this company is not a paymaster plus slow growth opportunities are there.","Show more","","","","",""
"4.0","13 Jan 2023","Work life at infoedge","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72613289.htm","Senior software engineer","Current employee, less than 1 year","Flexible work timing most of the time","Some times we have to work in very strict timeline which is very stressful.","Noida","","","","","","","",""
"4.0","31 Jan 2023","Excellent work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73159508.htm","Sales manager","Former employee","Excellent ambience, work culture and seniors","None, none, none, none, none","","","","","","","","",""
"5.0","22 Jan 2023","Best company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72881231.htm","Sr. executive - sales & marketing","Current employee","Better work culture and supportive management","Nothing its a best company to work","","","","","","","","",""
"4.0","25 Jan 2023","Great org to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72975735.htm","Corporate account manager","Former employee","Salary Work culture Management Perks","6 days week Travel allowance","Noida","","","","","","","",""
"5.0","30 Jan 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73154979.htm","Business development executive","Former employee, more than 1 year","incentives, timings, job security, location","saturday sunday fixed working days","Noida","","","","","","","",""
"3.0","14 Jan 2023","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72617533.htm","Sales manager","Former employee, more than 5 years","Good Place to work. Great Management.","No Con as such. It is a good place to work.","","","","","","","","",""
"2.0","1 Feb 2023","Excessive workload","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW73231307.htm","Senior associate executive","Current employee","The Management is really helpful","There is Excessive work load","","","","","","","","",""
"1.0","2 Nov 2022","Headless chicken in the middle of road during rainy night staring at incoming car","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70734314.htm","Manager","Former employee, more than 3 years","","","Noida","1 hour lunch break is the best part when hardly people disturb you","They exist that the cons. Company running by egoistic mindless, rude seniors. HR disappears when you talk about EPF to be transferred. They don't do so you won't get your money and from F&F money will also get deducted and you can't do anything about it as now you're not their employee anymore. Stay away from operations, compliance and legal teams","Show more","","","","",""
"5.0","19 Jan 2023","good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72776491.htm","Associate senior executive","Former employee, less than 1 year","good work life balance and benefits","less salary and growth opportunities","","","","","","","","",""
"4.0","17 Jan 2023","Managing accounts and new client acquisition","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72692198.htm","Senior executive corporate sales","Current employee, less than 1 year","All well balanced not much cons","Less salary and rigid policies","Ludhiana","","","","","","","",""
"5.0","11 Jan 2023","Excellent job security, slower growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72511685.htm","Associate senior executive","Current employee","","","","Best for long term employment and job security","Growth is slow and. Less salary","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. Your review is a reflection of the brand we have pledged to build. We promise that we will keep on going the extra mile to exceed your expectations.","Show more"
"5.0","1 Dec 2022","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71527170.htm","Anonymous employee","Current employee, more than 1 year","","","Noida","Great work culture. We are working on new age technology. Good learning and growth opportunity. Team and management is very supportive.","Have not experienced anything as of now","Show more","","","","",""
"5.0","16 Jan 2023","Operation","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72657510.htm","Senior manager","Current employee, more than 5 years","","","Noida","Good company to with with","Nothing as such. Good to work with","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. Your review means the world to us. We as an organization take a lot of pride in fostering an environment where employees are happy and naturally motivated to go above and beyond. We promise that we will keep on going the extra mile to exceed your expectations.","Show more"
"4.0","12 Jan 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72560756.htm","Ui\ux designer","Current employee","good work life balance. for employees.","Need more events to gel up with people.","","","","","","","","",""
"4.0","13 Jan 2023","review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72601653.htm","Senior software engineer","Current employee, more than 3 years","good office culture, decent work life balance","not so good office space","Noida","","","","","","","",""
"4.0","25 Nov 2022","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71378054.htm","Deputy manager sales","Current employee, more than 1 year","","","Navi Mumbai","-On time Salary. -Fair incentives structure. -Good opportunity to grow. - Stable company with Job security forever. - Good work life balance. - Supportive Management.","- Less Salary as compared to market standard.","Show more","","","","",""
"4.0","27 Dec 2022","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72149975.htm","Junior ios developer","Former employee, less than 1 year","","","Noida","Benefits and perks. Helpful people.","There will be pressure on work. Lacks in the training program.","Show more","","","","",""
"5.0","12 Nov 2022","Great organization to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71027652.htm","Technical architect","Current employee, more than 5 years","","","Noida","Great company. Many developers stay here for more than 5 years. Technically - Start up like culture. Stability of a huge organization. No layoffs even during covid period.","SARs ESOP is provided. Normal ESOPs should be provided.","Show more","","","","",""
"4.0","4 Jan 2023","Data Science Intern at InfoEdge","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72300539.htm","Data science","Former intern, less than 1 year","Good mentorship from the company managers","Toxic workculture exist in the company","","","","","","","","",""
"5.0","3 Jan 2023","okay","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72268933.htm","Senior associate","Former employee, less than 1 year","stable company to work, with a clear hierarchy","Sales dept need to be less aggressive","Noida","","","","","","","",""
"5.0","23 Dec 2022","Amazing work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72084922.htm","Seniour software engineer","Current employee, more than 1 year","1. Learning opportunities 2. Work culture 3. Manager/people management","Tech stack used in some cases is not modern.","Noida","","","","","","","",""
"5.0","3 Jan 2023","amazing work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72277974.htm","Ui\ux designer","Current employee, less than 1 year","it has the best culture","they ask to come to office","Noida","","","","","","","",""
"5.0","2 Jan 2023","Infoedge Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72266810.htm","Tech lead","Current employee","Work-Life Balance, Work culture, Timing","Just 1 cons - No Tax benefits,","","","","","","","","",""
"5.0","22 Dec 2022","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72079930.htm","Human resources","Current employee","","","","Good place to work Good office culture","None as of now Everything is fine","Show more","","","","",""
"5.0","30 Dec 2022","All is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72205220.htm","Senior executive corporate sales","Current employee","Salary work life balance is great","Nothing as of now for con","Mumbai","","","","","","","",""
"4.0","28 Dec 2022","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW72160450.htm","Branch sales manager","Current employee","","","Mumbai","Good company to work for.","Culture and work enviroment is good","Show more","","","","",""
"1.0","2 Dec 2022","Politics and narcissistic behaviour In jeevansathi","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71580052.htm","Software engineer","Current employee","","","","Competitive compensation and Awesome Manager","The leader takes credit for all your hard work and puts you on the firing line when things go negative. abuses you in front of everyone. I am really scared of what will happen if my manager goes on leave. Favoritism is all over the place.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. We as an organization take pride in cultivating an environment where employees can act and speak freely. 
We would suggest you reach out to your HRBP to discuss this in person so that we can help you better.","Show more"
"5.0","5 Nov 2022","Company with good compensation and learning opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70818568.htm","Software engineer","Former employee, less than 1 year","","","Noida","You get lot of ownership of features and get to work on new technologies and distributed systems. Compensation is on par with industry standards.","Not much I can think of.","Show more","","","","",""
"5.0","17 Dec 2022","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71940638.htm","Software engineer","Current employee","Very nice work culture in the company","Not having any of the cons","","","","","","","","",""
"3.0","28 Oct 2022","Too much favouritism","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70574750.htm","Manager","Former employee, more than 5 years","","","Noida","Overall a good company, they are solid and have good work life balance","Certain department heads have their favorite employee for which they are openly biased. That kills the lack of motivation,","Show more","","","","",""
"4.0","29 Nov 2022","Better Salary, No skill growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71464148.htm","Senior executive","Current employee, more than 3 years","","","","Infoedge provides better salary to all its employee","But there is no skill growth","Show more","","","","",""
"5.0","7 Dec 2022","Great Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71682080.htm","Avp-sales","Former employee, more than 10 years","","","Mumbai","Excellent Leadership and superior solutions provider","Salary is below average and growth opportunities are limited.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. 
Your review means the world to us. We as an organization take a lot of pride in fostering an environment where employees are happy and naturally motivated to go above and beyond.

We promise that we will keep on going the extra mile to exceed your expectations.","Show more"
"5.0","12 Dec 2022","Good organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71789584.htm","Human resources business partner hrbp","Current employee, less than 1 year","","","Bengaluru","Very approachable leadership team, encourage innovation","Policy and procedures can be made elaborate","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. Your review is a reflection of the brand we have pledged to build. We promise that we will keep on going the extra mile to exceed your expectations.","Show more"
"3.0","19 Dec 2022","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71977850.htm","Software testing engineer","Former employee","good brand name to start career","Lack of support from senior level","Noida","","","","","","","",""
"3.0","13 Dec 2022","Good but not great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71844503.htm","Assistant manager","Current employee","","","","Work life balance, easy going.","Slow growth, pays less, doesn't motivate","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. We are happy that you feel comfortable sharing your positive and negative experiences. 
We will work on your feedback and take the necessary steps to make our employee’s journey with us more meaningful.","Show more"
"5.0","30 Sept 2022","Awesome Company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69622884.htm","Senior product designer","Current employee, more than 3 years","","","Noida","Everything is perfect here, on-time salary, no politics, more great environment, and all the stakeholders are very open to listening.","I was there for around 4 years and didn’t find any Cons.","Show more","","","","",""
"5.0","13 Nov 2022","Great place to work, learn & enhance your career","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71034883.htm","Engineering manager","Current employee, more than 3 years","1. Career opportunities 2. Listening organisation with lot of care","Nothing significant to mention, things are broadly good","Greater Noida","","","","","","","",""
"4.0","14 Oct 2022","Nice place to start your career","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70163620.htm","Anonymous employee","Current employee","","","","Work life balance Great working environment Suppotive people","There is no negative point, as compare to other indian comapnies the working environment is actually supportive but the only issue is career growth is slow here.","Show more","","","","",""
"5.0","12 Nov 2022","A Stability Platform","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71019384.htm","Marketing specialist","Current employee","1)Job Security 2)Great Work Environment 3)Career Opportunities 4)Transition from one role to another","1)Ease of Comfort zone 2)Some Departments have laid back work","","","","","","","","",""
"5.0","30 Nov 2022","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71507838.htm","Senior executive","Current employee","","","","great work environment any one can start","targets are high some times not easy","Show more","","","","",""
"4.0","14 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71857866.htm","Anonymous employee","Former employee","Good overall, work life balance","office location is in noida","","","","","","","","",""
"4.0","3 Nov 2022","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70736798.htm","Senior associate","Current employee, less than 1 year","","","","Culture is good Timings are good","Growth is restricted Micro management by the managers","Show more","","","","",""
"4.0","18 Jul 2022","Overall good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW66815590.htm","Senior executive","Current employee, more than 1 year","","","Amritsar","Work-life balance is good/not much pressure from higher authority/Senior managers are co-operative/salary is good","All the above pros are only for Senior members as with the grass root level of employees the behavior is really bad/same leads/growth is really slow","Show more","","","","",""
"4.0","28 Oct 2022","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70573370.htm","Bde - business development executive","Current employee","","","","Salary is good work life balance","There is 15 days target which is very tough..lot of pressure you have to leave the job if you're not performing well ... Less carrier opportunity","Show more","","","","",""
"3.0","5 Oct 2022","learning wise its good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69792506.htm","Senior software engineer","Current employee, more than 1 year","","","","as a frontend developer, you get to work with good design team.","Poor perks, no team outings, no free food","Show more","","","","",""
"5.0","19 Nov 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71225787.htm","Associate senior executive","Current employee, more than 1 year","","","","Good pay packages are provided by the organisation","Working culture is not so good","Show more","","","","",""
"3.0","5 Nov 2022","Good compensation but bad work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70809789.htm","Senior software engineer","Current employee","","","Noida","Good Compensation Promotions and increments","Even entry-level employees are involved in office politics Poor work environment Cross-team collaborations are very bad","Show more","","","","",""
"4.0","5 Dec 2022","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71629632.htm","Software engineer","Current employee, more than 1 year","Good culture and proper appreciation","Nothing as such Fine here","Noida","","","","","","","",""
"5.0","14 Nov 2022","Very Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71060587.htm","Anonymous employee","Current employee, more than 3 years","1. Nice people 2. Good work culture","1. Too many bugs to fix(which can be pros too sometimes)","","","","","","","","",""
"5.0","2 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71569811.htm","Direct sales executive","Former employee, less than 1 year","","","New Delhi","Nice company to work with","Nothing bad about the company","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. Your review is a reflection of the brand we have pledged to build. We promise that we will keep on going the extra mile to exceed your expectations.","Show more"
"4.0","10 Sept 2022","Good Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68908285.htm","Software engineer","Current employee, less than 1 year","","","Noida","1. Great Managers
2. Great work - if you know how to sustain it.","1. Internal battles between QA and Developers
2. Bad projects can lead to wastage of valuable time. 
3. Internal frameworks are always a mess.","Show more","","","","",""
"1.0","3 Aug 2022","Jeevansathi change needed","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW67515536.htm","Tech lead","Current employee, less than 1 year","","","Noida","My manager can take a stand with anyone and consider us humans. He maintained decoram, unlike others in the business.","Not only is there a salary disparity between employees in the same position with the same set of skills and experience, but also the treatment is pathetic from top management.
I think the toxic culture is inherited and it's difficult to service here.
A suggestion would be to hire the most capable person as a leader, and a vote can be a solution as well.","Show more","","","","",""
"5.0","2 Oct 2022","It's a great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69690564.htm","Senior content executive","Current employee, more than 3 years","","","Noida","- Management is very suportive and appreciates new ideas
- Excellent work-life balance
- amazing work environment with room for growth","Not many, the experience is great","Show more","","","","",""
"4.0","22 Nov 2022","Great culture and exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71294155.htm","Sr. manager, operations","Current employee, less than 1 year","Equal opportunity, diversification, and exposure.","A bit top heavy firm","New Delhi","","","","","","","",""
"5.0","11 Nov 2022","Nice Work Life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71001909.htm","Nice work place but less transparent","Current employee, more than 5 years","Work Life Balance Is Amazing","Limited Career Growth And Opportunities","","","","","","","","",""
"4.0","13 Nov 2022","Inside Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71044805.htm","Assistant  manager","Current employee","5 days working Achievable targets","Low salary Not so good incentive capping","","","","","","","","",""
"5.0","9 Oct 2022","Good For start as well as long career","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69933037.htm","Manager - corporate sales","Former employee, more than 3 years","","","","stable work culture
good leadership
Learning availability is good","Salary can be better than it is","Show more","","","","",""
"4.0","26 Jul 2022","Nice Place to work.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW67172374.htm","Test engineer","Former employee, more than 1 year","","","Noida"," Stable and transparent environment 
• Hackathons and latest technology discussions to challenge you at each step 
• Training and development program to cater to each employee’s need and regular fun at work 
activities for a happy culture 
• Flexible working hours and employee friendly policies 
• Regular offsite, team lunch and parties","Not much to be listed.","Show more","","","","",""
"4.0","18 Jul 2022","Decent Pay, Good atmosphere, Moderate working hours","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW66817816.htm","Senior software development engineer in test","Current employee, more than 1 year","","","","Decent salary and hikes
Helping Managers
Friendly atmosphere","HR doesn't help whatever the concern is, extremely uncooperative. They don't even listen to the issue and start attacking you.
Monotonous work","Show more","","","","",""
"2.0","7 Nov 2022","Review - Software engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70849327.htm","Software engineer","Former employee, more than 3 years","Work culture and work-life balance","Partial Senior management Less learning","Noida","","","","","","","",""
"4.0","18 Oct 2022","Sr Executive with infoedge","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70282604.htm","Sr. executive - sales","Current employee, more than 1 year","Very Good company On time salary Good culture","Performance pressure. Sales Target End to end execution","Bengaluru","","","","","","","",""
"5.0","27 Oct 2022","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70571490.htm","Graphic designer","Current employee, more than 5 years","Team work Management Facility Environment Managers","NA NA NA NA NA","Noida","","","","","","","",""
"3.0","21 Sept 2022","Good work stability but low on pay package and skill development","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69285992.htm","Client servicing manager","Former employee, more than 5 years","","","Noida","Work life balance
Stability is high
Fixed weekoffs","Low on pay
Opportunity to upskill and grow is very limited
Tools used are very backdated","Show more","","","","",""
"4.0","11 Sept 2022","Profitable growing company with high employee retention","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68928893.htm","Evp","Current employee, more than 5 years","","","Noida","Work you do here positively impact millions of lives.","Not much cross-business movements, while one can learn a lot via this route","Show more","","","","",""
"4.0","11 Oct 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70025480.htm","Manager","Former employee","Good company to work with","There is no privilige leaves. Only casual and medical leaves are there","","","","","","","","",""
"1.0","10 Oct 2022","Toxic","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69960440.htm","Senior software engineer","Current employee, less than 1 year","","","Noida","Transferring to new tech stack react-native.","Toxic work culture. Loads of favoritism and politics. Will use you to get maximum productivity from you everyday. Culture of berating.","Show more","","","","",""
"5.0","16 Oct 2022","Wow","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70188239.htm","Senior sdet","Current employee","Work culture is good. depends on manager","Sometime not flexible. depends on Manager","","","","","","","","",""
"4.0","5 Oct 2022","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69800786.htm","Business manager","Current employee, more than 5 years","Great Place to work for due to its powerful brand.","Compensation structure really not up to the market standards.","Hyderābād","","","","","","","",""
"4.0","10 Oct 2022","Full time","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69967714.htm","Deputy manager","Current employee, more than 1 year","","","","On time salary, good work culture","No work life balance
Pls consider current employees salary","Show more","","","","",""
"5.0","19 Sept 2022","Awesome place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69229261.htm","Assistant manager","Former employee","","","New Delhi","To much to learn in this organisation","Not that I am aware of","Show more","","","","",""
"3.0","14 Oct 2022","..","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70140235.htm","Business manager","Current employee, more than 5 years","","","New Delhi","good to start career with","low growths opportunities in the setup","Show more","","","","",""
"5.0","4 Oct 2022","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69739472.htm","Anonymous employee","Current employee, more than 3 years","Everything is good and ok","Nothing much as of now","","","","","","","","",""
"4.0","19 Sept 2022","Great Place to work in Product","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69197218.htm","Product manager","Current employee, more than 3 years","","","Noida","Way of Product Management is great","Infra can be improved
Can be a bit more employee centric","Show more","","","","",""
"4.0","1 Mar 2022","Great Company for experienced professional","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW60496838.htm","Team lead","Current employee, more than 3 years","","","Noida","During the covid time, when the rest of the companies were laying-off people, deducting their salaries, Infoedge was one of the companies that didn't use any of the above methods for cost-cutting. 
Stable company, good paymaster. 

I believe for learning & growth, it completely depends one's own habits, hunger for the same.","You will surely find a lot of people working at Infoedge for >5 yrs/ >10 yrs, so there can be some lack in new/ fresh ideas. 
I myself have been working in the company for more than 4 yrs, and am often surprised by the new view-points shared by the younger team members.","Show more","","","","",""
"4.0","22 Sept 2022","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69361406.htm","Software engineer","Current employee, less than 1 year","Good company to work for.Rest depends on the business they put you in","No perks other than salary","Noida","","","","","","","",""
"2.0","13 Oct 2022","ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW70134050.htm","Customer success manager","Current employee","good company, job security etc","micro management, pressure, poor culture","Noida","","","","","","","",""
"4.0","7 Oct 2022","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW69873934.htm","Sales associate","Current employee","great work environment and salary","nothing as such to be mentioned","","","","","","","","",""
"5.0","9 Sept 2022","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68873540.htm","Business manager","Current employee, more than 5 years","Great place for freshers to learn and develop their overall skills","No cons as such salary could be better","","","","","","","","",""
"1.0","12 Dec 2022","Ok OK","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW71788582.htm","Anonymous employee","Current employee, less than 1 year","","","","None as of now !","Too much work and pressure.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","2y","Thank you for your feedback. As an organization we take pride in cultivating an environment where employees can act and speak freely.
We would suggest you reach out to your Manager / HRBP to discuss this in person so that we can help you better.","Show more"
"2.0","20 Jun 2022","Not a great place to place","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW65774013.htm","Lead engineer","Current employee, more than 5 years","","","","Only salary is the decent thing","Although it is an internet company, it is not at all focused on tech. Too much bias and politics rather than actual work.
Management play petty tricks against employees.
Not at all women-friendly work-place","Show more","","","","",""
"4.0","25 Aug 2022","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW68332869.htm","Senior executive","Current employee, more than 3 years","","","","Fixed shifts
Weekends off
Office parties and trips
Flexible timings","Unreasonable targets
Extremely slow growth 
Favouritism
Not open to suggestions/enhancements
Micromanagement
Boring, old fashioned work space
Salary/compensations","Show more","","","","",""
